max_cartesian_error_joint (mm),max_cartesian_error_index_joint (mm),avg_cartesian_error_joint (mm),max_orientation_error_joint  (rad),max_z_error_joint (mm),average_z_error_joint (mm),max_cartesian_error_cartesian (mm),max_cartesian_error_index_cartesian (mm),avg_cartesian_error_cartesian (mm),max_orientation_error _cartesian (rad),max_z_error_cartesian (mm),average_z_error_cartesian (mm),,,,,A-G,C-I
0.005951723,0,0.003784862,0.026776031,0.009915827,-0.000230794,0.000726767,99,0.00028422,0.83501929,0.001793326,-0.000230877,,,,,0.005224956,0.003500643
0.005720555,0,0.003754047,0.026760523,0.010041764,-0.000230794,0.000946866,99,0.000373572,0.835615551,0.001902272,-0.000230877,,,,,0.004773688,0.003380475
0.005490855,0,0.003725636,0.026738342,0.010308337,-0.000191003,0.001135076,99,0.000466686,0.836033869,0.002149912,-0.000190863,,,,,0.004355779,0.00325895
0.00525781,0,0.003696265,0.026717535,0.010556802,3.60E-05,0.001391366,99,0.000553728,0.836271966,0.002379924,3.59E-05,,,,,0.003866444,0.003142536
0.005027254,0,0.003669493,0.026690458,0.010681597,3.60E-05,0.001615262,99,0.000644548,0.836328835,0.002481855,3.59E-05,,,,,0.003411992,0.003024946
0.004797912,0,0.003644143,0.026659238,0.010805492,3.60E-05,0.001840353,99,0.000735833,0.836202653,0.002581423,3.59E-05,,,,,0.002957559,0.002908309
1.165394398,99,0.617189509,0.045869207,0.154296083,-0.464905699,0.168661008,0,0.071258427,0.835892137,0.004420952,-0.000161079,,,,,0.99673339,0.545931082
0.110188713,0,0.040449983,0.050106834,0.107130825,-0.012968233,0.104069112,99,0.076720869,0.837475315,0.002589205,7.80E-05,,,,,0.006119601,-0.036270885
0.005194645,50,0.004201636,0.029384982,0.012384118,3.60E-05,0.002553623,99,0.00103111,0.834700607,0.00293449,3.59E-05,,,,,0.002641021,0.003170526
0.005250654,50,0.004168143,0.029321772,0.012525308,3.60E-05,0.002816247,99,0.001139003,0.833780254,0.0030427,3.59E-05,,,,,0.002434407,0.00302914
0.005312367,50,0.004136519,0.029251861,0.01266558,3.60E-05,0.003080483,99,0.001247515,0.832654859,0.003147998,3.59E-05,,,,,0.002231884,0.002889004
0.005376855,50,0.004104928,0.029161999,0.012848029,-9.00E-05,0.00338049,99,0.001356203,0.831323443,0.0032958,-8.94E-05,,,,,0.001996365,0.002748725
0.005452429,50,0.004079404,0.029091881,0.01270811,-0.000200334,0.003615109,99,0.001466153,0.829784611,0.00311349,-0.000200443,,,,,0.00183732,0.002613251
0.005530974,50,0.004054429,0.029002623,0.012847309,-0.000200334,0.00388399,99,0.001576353,0.828039616,0.00320998,-0.000200443,,,,,0.001646984,0.002478076
1.129891821,99,0.531172828,0.045447837,0.25702706,-0.359689578,0.092643618,0,0.037064836,0.826087861,0.004119224,-0.000274878,,,,,1.037248204,0.494107992
0.095554799,99,0.047889749,0.051903887,0.110467844,-0.019863007,0.113763003,0,0.076225799,0.825011104,0.00320445,-0.000155876,,,,,-0.018208204,-0.02833605
0.006348853,50,0.00444967,0.031256983,0.01414589,-0.000200311,0.004734335,99,0.001933629,0.821647896,0.00354691,-0.000200444,,,,,0.001614519,0.002516041
0.006433388,50,0.004420178,0.031120325,0.014297489,-0.000200312,0.005035466,99,0.002058518,0.819180145,0.003644512,-0.000200444,,,,,0.001397921,0.00236166
0.006522782,50,0.004392844,0.03096078,0.014603468,-0.000120224,0.005374769,99,0.00218474,0.816495582,0.003941911,-0.000118782,,,,,0.001148014,0.002208104
0.006619028,50,0.004372797,0.030817969,0.014780937,-2.28E-05,0.005646151,99,0.002310115,0.81359443,0.004007335,-2.29E-05,,,,,0.000972877,0.002062682
0.006720318,50,0.004356608,0.030653828,0.014936196,-2.28E-05,0.005952848,99,0.002436943,0.810481454,0.004094984,-2.29E-05,,,,,0.00076747,0.001919665
0.466229397,7,0.414679083,0.032535802,-0.240273035,-0.323778188,0.060389746,99,0.048955472,0.807158226,0.004276644,-6.65E-05,,,,,0.405839652,0.365723611
0.007352037,50,0.004683375,0.032903707,0.015791829,-2.28E-05,0.006599371,99,0.00271163,0.803678962,0.004309416,-2.29E-05,,,,,0.000752666,0.001971746
0.00745267,50,0.004665108,0.032691973,0.015963928,-2.28E-05,0.006945702,99,0.002856617,0.800174747,0.004398323,-2.29E-05,,,,,0.000506968,0.001808491
0.007564073,50,0.004658017,0.032470584,0.016208561,2.79E-05,0.00727819,99,0.003005716,0.796449659,0.00462431,3.03E-05,,,,,0.000285883,0.001652301
0.007669918,50,0.00465888,0.032226849,0.016496312,0.000154515,0.007650137,99,0.003148904,0.792506498,0.004742435,0.00015437,,,,,1.97811E-05,0.001509975
0.007786773,50,0.004675452,0.031976682,0.016680748,0.000154513,0.008003703,99,0.003296348,0.78835524,0.004820302,0.00015437,,,,,-0.00021693,0.001379104
0.58629126,0,0.343362724,0.023158544,-0.069039081,-0.276410894,0.030850605,20,0.024541141,0.784000998,0.004925802,0.000131453,,,,,0.555440654,0.318821584
0.008333782,50,0.004962788,0.034313441,0.017166376,0.000154527,0.008729868,99,0.003604609,0.779604644,0.004999814,0.00015437,,,,,-0.000396085,0.001358179
0.00844356,50,0.005005663,0.034011216,0.017360095,0.000154525,0.00910246,99,0.003761937,0.775245819,0.005064954,0.00015437,,,,,-0.000658901,0.001243726
0.00854677,50,0.005071038,0.033627579,0.017494259,-0.000101484,0.009565716,99,0.003917057,0.770709174,0.005061258,-9.78E-05,,,,,-0.001018946,0.001153981
0.008674977,50,0.005160651,0.033356588,0.017435623,-0.000181671,0.009863273,99,0.004079389,0.766002287,0.004848191,-0.00018182,,,,,-0.001188296,0.001081262
0.62916643,99,0.295487848,0.041870255,0.121793067,-0.237530403,0.032637474,99,0.018744436,0.761143546,0.004981107,-0.000190477,,,,,0.596528955,0.276743412
0.009197545,50,0.005494571,0.036236152,0.017466169,-0.000181659,0.010623312,99,0.004398559,0.756203979,0.004978965,-0.00018182,,,,,-0.001425767,0.001096012
0.00930254,50,0.00559316,0.035857472,0.017675342,-0.000181663,0.011001117,99,0.00455968,0.751640101,0.005011781,-0.00018182,,,,,-0.001698577,0.00103348
0.009403535,50,0.005698214,0.035402331,0.017899332,-0.000212325,0.01149236,99,0.004719843,0.746986449,0.005042359,-0.000206729,,,,,-0.002088825,0.000978371
0.009519107,50,0.005807649,0.035041018,0.018091023,-0.000220585,0.011777138,99,0.0048855,0.742255564,0.0050286,-0.000220732,,,,,-0.002258031,0.000922149
0.456744481,99,0.212464831,0.03793443,0.079878419,-0.198564115,0.015850779,0,0.010005563,0.737475391,0.005079714,-0.00022471,,,,,0.440893703,0.202459268
0.010078866,50,0.006169251,0.038821366,0.017553455,-0.000220575,0.012524118,99,0.005193928,0.732799102,0.005086634,-0.000220732,,,,,-0.002445252,0.000975322
0.010165217,50,0.006274387,0.038377973,0.017764877,-0.00022058,0.012873776,99,0.005344929,0.72876614,0.005072467,-0.000220732,,,,,-0.002708559,0.000929458
0.010240761,50,0.00638364,0.037804415,0.0184403,0.000167284,0.013328586,99,0.005492325,0.724799491,0.005553702,0.000175632,,,,,-0.003087825,0.000891314
0.010339275,50,0.006491113,0.037429543,0.018706901,0.000251279,0.013598497,99,0.005651196,0.720916386,0.005508241,0.000251141,,,,,-0.003259223,0.000839918
0.212518532,0,0.147085555,0.040586392,-0.077218683,-0.170602827,0.020506705,99,0.010308135,0.717154386,0.005478453,0.000249557,,,,,0.192011827,0.13677742
0.010993489,50,0.006874675,0.042330919,0.017525126,0.000251287,0.014232939,99,0.005904637,0.714025438,0.005457201,0.000251142,,,,,-0.00323945,0.000970038
0.011044494,50,0.006962554,0.041871845,0.017696966,0.000236993,0.014434514,99,0.006036863,0.711607125,0.005384099,0.000249801,,,,,-0.00339002,0.000925691
0.011090918,50,0.00705246,0.041349771,0.017930641,0.000245858,0.014818366,99,0.006155344,0.709459178,0.005303805,0.00024573,,,,,-0.003727449,0.000897116
0.273680708,99,0.114590916,0.042373924,0.19836665,-0.101891514,0.01702262,0,0.006293614,0.707622056,0.005249758,0.000245095,,,,,0.256658088,0.108297302
0.011743503,0,0.007902362,0.048171792,0.019368713,-0.00105146,0.015344121,99,0.006352831,0.706119897,0.005186086,0.00024573,,,,,-0.003600618,0.001549531
0.011937143,50,0.007536828,0.047378713,0.016483135,0.000245861,0.015532086,99,0.006440183,0.70617249,0.005052003,0.000245731,,,,,-0.003594943,0.001096645
0.011928033,50,0.007605096,0.046764328,0.016516469,-6.22E-05,0.015882068,99,0.006518453,0.70669815,0.004800132,-4.25E-05,,,,,-0.003954035,0.001086643
0.011928736,50,0.007650614,0.046413705,0.016507646,-0.00011439,0.015941226,99,0.00661928,0.707701825,0.004422585,-0.000114498,,,,,-0.00401249,0.001031334
