breakpoints,primitives,points,q_bp
45453,movel_fit,"[array([1050.33900912,  405.74426186,  988.34782863])]","[array([ 0.15157843, -0.66055862,  0.87684689, -2.57352992, -0.97571207,
        1.3777155 ])]"
45958,movel_fit,"[array([1050.73259589,  416.3527536 ,  988.58365851])]","[array([ 0.1709481 , -0.68583873,  0.89544462, -2.57614591, -0.92442213,
        1.49410259])]"
46463,movel_fit,"[array([1052.42289029,  426.94036916,  989.00712717])]","[array([ 0.19228998, -0.6969655 ,  0.90331106, -2.59087675, -0.88410286,
        1.61942096])]"
46968,movel_fit,"[array([1054.97730725,  437.16633363,  989.8377016 ])]","[array([ 0.21248397, -0.69215643,  0.89889149, -2.61452039, -0.86089793,
        1.74332111])]"
47473,movel_fit,"[array([1058.21485809,  446.86105275,  991.02785635])]","[array([ 0.22856362, -0.67125527,  0.88216739, -2.64060234, -0.85821702,
        1.85611813])]"
47978,movel_fit,"[array([1062.2288875 ,  456.40413811,  992.25074215])]","[array([ 0.23927857, -0.63511055,  0.85421993, -2.66305837, -0.87587336,
        1.95205497])]"
48483,movel_fit,"[array([1066.88272174,  465.75116372,  992.89011699])]","[array([ 0.24428671, -0.58574131,  0.81715666, -2.67824208, -0.91167877,
        2.02922389])]"
48988,movel_fit,"[array([1071.21636576,  473.29251389,  993.18638548])]","[array([ 0.24289362, -0.52694786,  0.77348993, -2.68528368, -0.96394182,
        2.08826304])]"
49493,movel_fit,"[array([1077.02146438,  483.08513445,  992.80560437])]","[array([ 0.24016559, -0.45833905,  0.72422601, -2.68603493, -1.02551155,
        2.13509642])]"
49999,movel_fit,"[array([1081.71571278,  490.10756391,  991.92672915])]","[array([ 0.23304989, -0.38693661,  0.6740388 , -2.68109969, -1.09585937,
        2.16862672])]"
-1,movel_fit,"[array([1105.84919431,  537.00575069,  988.82616361])]","[array([ 0.21302209, -0.05577341,  0.45671745, -2.63113596, -1.41719897,
        2.32881781])]"
