state,action,reward,next_state,next_action
22,1,-10,22,1
22,1,-10,23,19
23,19,-10,25,19
25,19,-10,27,18
27,18,-10,29,19
29,19,-10,32,18
32,18,-10,33,19
33,19,-10,35,17
35,17,-10,17,1
17,1,-10,17,1
17,1,-10,37,19
37,19,-10,38,9
20,10,-10,20,14
20,14,-10,21,0
21,0,-10,21,0
21,0,-10,1,12
1,12,-10,21,10
21,10,-10,21,10
21,10,-10,1,15
1,15,-10,2,17
2,17,-10,22,9
22,9,-10,23,19
23,19,-10,5,8
5,8,-10,6,9
6,9,-10,9,8
9,8,-10,30,19
30,19,-10,33,19
33,19,-10,34,18
34,18,-10,36,18
36,18,-10,17,1
17,1,-10,17,1
17,1,-10,38,9
38,9,-10,19,9
20,19,-10,1,6
1,6,-10,22,19
22,19,-10,24,19
24,19,-10,25,19
25,19,-10,27,18
27,18,-10,29,19
29,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,17,1
17,1,-10,17,1
17,1,-10,17,1
17,1,-10,37,19
37,19,-10,38,9
20,19,-10,23,19
23,19,-10,5,8
5,8,-10,28,19
28,19,-10,30,19
30,19,-10,33,19
33,19,-10,35,17
35,17,-10,36,18
36,18,-10,18,6
18,6,-10,38,9
20,18,-10,23,19
23,19,-10,5,8
5,8,-10,25,19
25,19,-10,7,6
7,6,-10,7,6
7,6,-10,8,6
8,6,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,17,1
17,1,-10,17,1
17,1,-10,17,1
17,1,-10,37,19
37,19,-10,38,9
20,13,-10,21,3
21,3,-10,21,3
21,3,-10,21,1
21,1,-10,2,7
2,7,-10,2,7
2,7,-10,23,19
23,19,-10,5,8
5,8,-10,7,6
7,6,-10,28,19
28,19,-10,31,19
31,19,-10,34,18
34,18,-10,36,18
36,18,-10,18,6
18,6,-10,38,9
38,9,-10,39,9
20,15,-10,22,0
22,0,-10,22,0
22,0,-10,22,16
22,16,-10,24,19
24,19,-10,28,19
28,19,-10,9,8
9,8,-10,31,19
31,19,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
37,19,-10,39,9
20,19,-10,21,2
21,2,-10,21,2
21,2,-10,21,6
21,6,-10,22,2
22,2,-10,2,6
2,6,-10,3,4
3,4,-10,3,4
3,4,-10,4,14
4,14,-10,5,8
5,8,-10,6,9
