j1,j2,j3,j4,j5,j6
-0.000681202,0.039508075,-0.00686539,-0.028283721,-0.12375998,-0.034781394
-0.000682642,0.039508059,-0.006863199,-0.028285787,-0.12376297,-0.034781575
-0.000684082,0.039508044,-0.006861007,-0.028287852,-0.123765961,-0.034781756
-0.000685522,0.039508027,-0.006858815,-0.028289918,-0.123768952,-0.034781938
-0.000686962,0.039508011,-0.006856622,-0.028291983,-0.123771942,-0.034782119
-0.000688402,0.039507994,-0.00685443,-0.028294048,-0.123774933,-0.034782301
-0.000689842,0.039507977,-0.006852237,-0.028296113,-0.123777923,-0.034782483
-0.000691282,0.03950796,-0.006850044,-0.028298177,-0.123780913,-0.034782665
-0.000692722,0.039507943,-0.006847851,-0.028300242,-0.123783903,-0.034782847
-0.000694163,0.039507925,-0.006845657,-0.028302306,-0.123786892,-0.03478303
-0.000695603,0.039507907,-0.006843464,-0.028304371,-0.123789882,-0.034783212
-0.000697044,0.039507889,-0.00684127,-0.028306435,-0.123792871,-0.034783395
-0.000698484,0.03950787,-0.006839076,-0.028308499,-0.12379586,-0.034783577
-0.000699925,0.039507852,-0.006836881,-0.028310563,-0.123798849,-0.03478376
-0.000701366,0.039507833,-0.006834687,-0.028312627,-0.123801838,-0.034783943
-0.000702807,0.039507814,-0.006832492,-0.028314691,-0.123804827,-0.034784127
-0.000704248,0.039507794,-0.006830297,-0.028316754,-0.123807816,-0.03478431
-0.000705689,0.039507775,-0.006828102,-0.028318817,-0.123810804,-0.034784493
-0.00070713,0.039507755,-0.006825907,-0.028320881,-0.123813793,-0.034784677
-0.000708571,0.039507735,-0.006823712,-0.028322944,-0.123816781,-0.03478486
-0.000710012,0.039507714,-0.006821516,-0.028325007,-0.123819769,-0.034785044
-0.000711454,0.039507694,-0.00681932,-0.02832707,-0.123822757,-0.034785228
-0.000712895,0.039507673,-0.006817124,-0.028329133,-0.123825744,-0.034785412
-0.000714337,0.039507651,-0.006814927,-0.028331195,-0.123828732,-0.034785597
-0.000715778,0.03950763,-0.006812731,-0.028333258,-0.123831719,-0.034785781
-0.00071722,0.039507608,-0.006810534,-0.02833532,-0.123834707,-0.034785965
-0.000718662,0.039507587,-0.006808337,-0.028337382,-0.123837694,-0.03478615
-0.000720104,0.039507564,-0.00680614,-0.028339444,-0.12384068,-0.034786335
-0.000721546,0.039507542,-0.006803943,-0.028341506,-0.123843667,-0.03478652
-0.000722988,0.039507519,-0.006801745,-0.028343568,-0.123846654,-0.034786705
-0.00072443,0.039507496,-0.006799547,-0.02834563,-0.12384964,-0.03478689
-0.000725872,0.039507473,-0.006797349,-0.028347692,-0.123852627,-0.034787075
-0.000727314,0.03950745,-0.006795151,-0.028349753,-0.123855613,-0.034787261
-0.000728756,0.039507426,-0.006792952,-0.028351814,-0.123858599,-0.034787446
-0.000730199,0.039507402,-0.006790754,-0.028353875,-0.123861585,-0.034787632
-0.000731641,0.039507378,-0.006788555,-0.028355936,-0.123864571,-0.034787818
-0.000733084,0.039507354,-0.006786356,-0.028357997,-0.123867556,-0.034788004
-0.000734527,0.039507329,-0.006784157,-0.028360058,-0.123870542,-0.03478819
-0.000735969,0.039507304,-0.006781957,-0.028362119,-0.123873527,-0.034788376
-0.000737412,0.039507279,-0.006779757,-0.028364179,-0.123876512,-0.034788563
-0.000738855,0.039507254,-0.006777558,-0.02836624,-0.123879497,-0.034788749
-0.000740298,0.039507228,-0.006775357,-0.0283683,-0.123882482,-0.034788936
-0.000741741,0.039507202,-0.006773157,-0.02837036,-0.123885466,-0.034789123
-0.000743184,0.039507176,-0.006770957,-0.02837242,-0.123888451,-0.03478931
-0.000744628,0.03950715,-0.006768756,-0.02837448,-0.123891435,-0.034789497
-0.000746071,0.039507123,-0.006766555,-0.02837654,-0.12389442,-0.034789684
-0.000747514,0.039507097,-0.006764354,-0.028378599,-0.123897404,-0.034789871
-0.000748958,0.039507069,-0.006762152,-0.028380659,-0.123900387,-0.034790059
-0.000750401,0.039507042,-0.006759951,-0.028382718,-0.123903371,-0.034790246
-0.000751845,0.039507014,-0.006757749,-0.028384777,-0.123906355,-0.034790434
-0.000753289,0.039506987,-0.006755547,-0.028386836,-0.123909338,-0.034790622
-0.000754733,0.039506958,-0.006753345,-0.028388895,-0.123912321,-0.03479081
-0.000756176,0.03950693,-0.006751142,-0.028390954,-0.123915304,-0.034790998
-0.00075762,0.039506902,-0.00674894,-0.028393013,-0.123918288,-0.034791186
-0.000759064,0.039506873,-0.006746737,-0.028395071,-0.12392127,-0.034791375
-0.000760509,0.039506844,-0.006744534,-0.02839713,-0.123924253,-0.034791563
-0.000761953,0.039506814,-0.006742331,-0.028399188,-0.123927236,-0.034791752
-0.000763397,0.039506785,-0.006740127,-0.028401246,-0.123930218,-0.034791941
-0.000764842,0.039506755,-0.006737924,-0.028403304,-0.1239332,-0.034792129
-0.000766286,0.039506725,-0.00673572,-0.028405362,-0.123936182,-0.034792318
-0.000767731,0.039506694,-0.006733516,-0.02840742,-0.123939164,-0.034792508
